time[d]	beta1			beta2			beta3			beta4			beta5			beta6			ngt[s^-1]		fuel_tmp_coeff[pcm/dk]	mod_tmp_coeff[pcm/dk]
0.0		2.061760E-04	1.140360E-03	1.081370E-03	3.060860E-03	9.097140E-04	2.759040E-04	4.430560E-04	-2.9550685652121347	-0.8902186954229654
0.0208	1.809510E-04	1.108650E-03	1.061870E-03	3.031130E-03	8.746820E-04	3.281220E-04	4.431770E-04	-2.7385173379262633	-1.7944424067550369
0.0416	2.202390E-04	1.062650E-03	1.082530E-03	3.085120E-03	8.285380E-04	3.209770E-04	4.444890E-04	-1.5482321936514685	-2.1908891900594534
1.0		2.168300E-04	1.100710E-03	1.084330E-03	3.051100E-03	8.765690E-04	2.988860E-04	4.407830E-04	-2.114799161481408	-1.8873926333752151
3.0		2.143580E-04	1.100460E-03	1.086540E-03	3.073110E-03	8.962700E-04	3.322980E-04	4.361920E-04	-3.0001985195963683	-2.230402086144121
7.0		2.110560E-04	1.143540E-03	1.109930E-03	3.019300E-03	9.179050E-04	2.905350E-04	4.359980E-04	-3.0127680728590103	-2.369848136322088
14.0	2.298070E-04	1.097810E-03	1.066690E-03	2.899200E-03	8.991880E-04	2.722290E-04	4.342660E-04	-1.8881557660797228	-2.073423976626259
21.0	2.083940E-04	1.079690E-03	1.086320E-03	3.072840E-03	8.978700E-04	3.435160E-04	4.339830E-04	-2.917549090278848	-2.809337918105883
28.0	1.935580E-04	1.129550E-03	1.035960E-03	2.978640E-03	9.334390E-04	3.071390E-04	4.325310E-04	-2.073612722228549	-1.8873890392823875
35.0	2.232650E-04	1.069990E-03	1.035350E-03	2.930760E-03	8.752550E-04	3.289120E-04	4.336100E-04	-2.70367777865143	-3.0272931777971612
42.0	1.907430E-04	1.107980E-03	1.052460E-03	3.018360E-03	8.356020E-04	3.107210E-04	4.325710E-04	-3.2354909891061934	-1.4450288697842903
49.0	1.931690E-04	1.107840E-03	1.024280E-03	3.035970E-03	8.839470E-04	3.150240E-04	4.345450E-04	-1.855825865039359	-2.2270260029463174
56.0	2.408250E-04	1.101560E-03	1.046670E-03	2.921830E-03	8.512110E-04	3.423670E-04	4.321260E-04	-2.246969276751929	-1.7381999990753587
63.0	2.195330E-04	1.004350E-03	1.029140E-03	3.080170E-03	8.610310E-04	3.021820E-04	4.311010E-04	-2.6744220813592885	-2.7376528904127166
70.0	1.900170E-04	1.128760E-03	1.010960E-03	3.016100E-03	8.730860E-04	3.173780E-04	4.342160E-04	-2.1133016914357605	-2.0808548948992773
77.0	2.010040E-04	1.111110E-03	1.023300E-03	2.962320E-03	8.750790E-04	3.288340E-04	4.339130E-04	-2.1639733659081553	-2.67295059388803
84.0	1.948470E-04	1.086860E-03	1.078890E-03	3.090100E-03	8.264380E-04	3.223730E-04	4.331720E-04	-2.1594193774961705	-2.7282403213287836
91.0	2.259370E-04	1.103090E-03	1.086480E-03	3.029930E-03	8.290370E-04	2.992310E-04	4.345790E-04	-1.8231747963339169	-1.4937598467212176
98.0	2.171460E-04	1.086690E-03	1.044630E-03	3.025910E-03	8.403560E-04	3.161270E-04	4.347500E-04	-3.3043205343218838	-2.4812209763305884
105.0	2.086800E-04	1.112850E-03	1.038580E-03	3.027030E-03	8.508570E-04	3.051850E-04	4.345630E-04	-2.6493058045626987	-1.925579393872967
112.0	2.025560E-04	1.132380E-03	1.067610E-03	3.026580E-03	9.230830E-04	2.799180E-04	4.349570E-04	-2.857053584024397	-2.2766884810238643
119.0	2.435050E-04	1.068560E-03	1.091620E-03	3.007680E-03	8.951090E-04	3.060840E-04	4.334670E-04	-3.115686292603257	-1.6298155490466733
126.0	2.362750E-04	1.089650E-03	1.053820E-03	2.971280E-03	9.185210E-04	3.380110E-04	4.338060E-04	-2.8923658293797967	-1.713236176559388
133.0	2.192290E-04	1.066970E-03	1.074920E-03	2.949510E-03	8.512490E-04	2.692360E-04	4.327950E-04	-3.0210871855856882	-2.5331110994710166
140.0	2.094250E-04	1.105760E-03	1.097850E-03	3.088820E-03	8.804630E-04	2.990800E-04	4.353580E-04	-3.2479821331955248	-2.103935630624327
147.0	2.402820E-04	1.064560E-03	1.088350E-03	2.916810E-03	9.033210E-04	3.420280E-04	4.340010E-04	-2.4435687435368623	-1.5712057911538972
